x1,x2,y
0.0,20.0,81.0
1.0,20.0,82.0
2.0,20.0,83.0
3.0,20.0,84.0
4.0,20.0,85.0
5.0,20.0,86.0
6.0,20.0,87.0
7.0,20.0,88.0
8.0,20.0,89.0
9.0,20.0,90.0
10.0,20.0,91.0
0.0,20.5,83.0
1.0,20.5,84.0
2.0,20.5,85.0
3.0,20.5,86.0
4.0,20.5,87.0
5.0,20.5,88.0
6.0,20.5,89.0
7.0,20.5,90.0
8.0,20.5,91.0
9.0,20.5,92.0
10.0,20.5,93.0
0.0,21.0,85.0
1.0,21.0,86.0
2.0,21.0,87.0
3.0,21.0,88.0
4.0,21.0,89.0
5.0,21.0,90.0
6.0,21.0,91.0
7.0,21.0,92.0
8.0,21.0,93.0
9.0,21.0,94.0
10.0,21.0,95.0
0.0,21.5,87.0
1.0,21.5,88.0
2.0,21.5,89.0
3.0,21.5,90.0
4.0,21.5,91.0
5.0,21.5,92.0
6.0,21.5,93.0
7.0,21.5,94.0
8.0,21.5,95.0
9.0,21.5,96.0
10.0,21.5,97.0
0.0,22.0,89.0
1.0,22.0,90.0
2.0,22.0,91.0
3.0,22.0,92.0
4.0,22.0,93.0
5.0,22.0,94.0
6.0,22.0,95.0
7.0,22.0,96.0
8.0,22.0,97.0
9.0,22.0,98.0
10.0,22.0,99.0
0.0,22.5,91.0
1.0,22.5,92.0
2.0,22.5,93.0
3.0,22.5,94.0
4.0,22.5,95.0
5.0,22.5,96.0
6.0,22.5,97.0
7.0,22.5,98.0
8.0,22.5,99.0
9.0,22.5,100.0
10.0,22.5,101.0
0.0,23.0,93.0
1.0,23.0,94.0
2.0,23.0,95.0
3.0,23.0,96.0
4.0,23.0,97.0
5.0,23.0,98.0
6.0,23.0,99.0
7.0,23.0,100.0
8.0,23.0,101.0
9.0,23.0,102.0
10.0,23.0,103.0
0.0,23.5,95.0
1.0,23.5,96.0
2.0,23.5,97.0
3.0,23.5,98.0
4.0,23.5,99.0
5.0,23.5,100.0
6.0,23.5,101.0
7.0,23.5,102.0
8.0,23.5,103.0
9.0,23.5,104.0
10.0,23.5,105.0
0.0,24.0,97.0
1.0,24.0,98.0
2.0,24.0,99.0
3.0,24.0,100.0
4.0,24.0,101.0
5.0,24.0,102.0
6.0,24.0,103.0
7.0,24.0,104.0
8.0,24.0,105.0
9.0,24.0,106.0
10.0,24.0,107.0
0.0,24.5,99.0
1.0,24.5,100.0
2.0,24.5,101.0
3.0,24.5,102.0
4.0,24.5,103.0
5.0,24.5,104.0
6.0,24.5,105.0
7.0,24.5,106.0
8.0,24.5,107.0
9.0,24.5,108.0
10.0,24.5,109.0
0.0,25.0,101.0
1.0,25.0,102.0
2.0,25.0,103.0
3.0,25.0,104.0
4.0,25.0,105.0
5.0,25.0,106.0
6.0,25.0,107.0
7.0,25.0,108.0
8.0,25.0,109.0
9.0,25.0,110.0
10.0,25.0,111.0
