x1,y
0.0,0.0
1.0,0.5199999999999999
2.0,0.9060254037844386
3.0,1.06
4.0,0.9460254037844387
5.0,0.6
6.0,0.12000000000000012
7.0,-0.3600000000000001
8.0,-0.7060254037844383
9.0,-0.8200000000000001
10.0,-0.6660254037844386
11.0,-0.28000000000000047
12.0,0.23999999999999974
13.0,0.7599999999999993
14.0,1.1460254037844388
15.0,1.3
16.0,1.186025403784439
17.0,0.8399999999999999
18.0,0.3600000000000004
19.0,-0.11999999999999916
20.0,-0.4660254037844387
21.0,-0.5800000000000001
22.0,-0.42602540378443915
23.0,-0.03999999999999987
24.0,0.4799999999999995
25.0,1.0000000000000004
26.0,1.386025403784438
27.0,1.54
28.0,1.4260254037844384
29.0,1.0800000000000014
30.0,0.6000000000000006
31.0,0.12000000000000105
32.0,-0.2260254037844377
33.0,-0.33999999999999997
34.0,-0.18602540378443833
35.0,0.19999999999999996
36.0,0.7199999999999992
37.0,1.2399999999999989
38.0,1.6260254037844377
39.0,1.78
40.0,1.6660254037844386
41.0,1.3200000000000003
42.0,0.8400000000000009
43.0,0.36000000000000126
44.0,0.013974596215562407
45.0,-0.09999999999999998
46.0,0.053974596215561554
47.0,0.4399999999999997
48.0,0.959999999999999
49.0,1.4799999999999986
50.0,1.8660254037844393
51.0,2.02
52.0,1.9060254037844404
53.0,1.5600000000000005
54.0,1.0800000000000012
55.0,0.6000000000000016
56.0,0.25397459621556084
57.0,0.14000000000000012
58.0,0.29397459621555955
59.0,0.6799999999999994
60.0,1.1999999999999986
61.0,1.7199999999999984
62.0,2.1060254037844373
63.0,2.26
64.0,2.1460254037844404
65.0,1.8000000000000007
66.0,1.320000000000005
67.0,0.8400000000000019
68.0,0.49397459621556095
69.0,0.3800000000000001
70.0,0.5339745962155613
71.0,0.9200000000000023
72.0,1.4399999999999984
73.0,1.959999999999995
74.0,2.346025403784437
75.0,2.5
76.0,2.3860254037844406
77.0,2.040000000000001
78.0,1.559999999999998
79.0,1.0800000000000018
80.0,0.733974596215561
81.0,0.6200000000000001
82.0,0.7739745962155612
83.0,1.1600000000000024
84.0,1.6799999999999982
85.0,2.199999999999995
86.0,2.5860254037844372
87.0,2.74
88.0,2.626025403784441
89.0,2.280000000000001
90.0,1.8000000000000054
91.0,1.320000000000002
92.0,0.9739745962155612
93.0,0.8600000000000001
94.0,1.013974596215561
95.0,1.4000000000000021
96.0,1.919999999999998
97.0,2.440000000000001
98.0,2.826025403784437
99.0,2.98
100.0,2.8660254037844375
101.0,2.5200000000000076
102.0,2.0399999999999987
103.0,1.5599999999999963
104.0,1.2139745962155648
105.0,1.1
106.0,1.2539745962155608
107.0,1.6399999999999957
108.0,2.159999999999998
109.0,2.6800000000000006
110.0,3.066025403784437
111.0,3.22
112.0,3.1060254037844377
113.0,2.760000000000008
114.0,2.280000000000006
115.0,1.7999999999999967
116.0,1.4539745962155648
117.0,1.3399999999999999
118.0,1.4939745962155606
119.0,1.8799999999999952
120.0,2.3999999999999972
121.0,2.9200000000000004
122.0,3.306025403784437
123.0,3.46
124.0,3.346025403784441
125.0,3.0000000000000018
126.0,2.519999999999999
127.0,2.0399999999999965
128.0,1.6939745962155652
129.0,1.58
130.0,1.7339745962155608
131.0,2.119999999999989
132.0,2.6399999999999904
133.0,3.1600000000000064
134.0,3.5460254037844368
135.0,3.7
136.0,3.586025403784438
137.0,3.240000000000008
138.0,2.7600000000000064
139.0,2.2800000000000034
140.0,1.933974596215562
141.0,1.8199999999999998
142.0,1.973974596215564
143.0,2.359999999999995
144.0,2.879999999999997
145.0,3.4
146.0,3.786025403784433
147.0,3.94
148.0,3.8260254037844414
149.0,3.480000000000002
150.0,2.9999999999999996
151.0,2.519999999999997
152.0,2.173974596215565
153.0,2.06
154.0,2.2139745962155604
155.0,2.5999999999999885
156.0,3.120000000000004
157.0,3.640000000000006
158.0,4.026025403784437
159.0,4.18
160.0,4.0660254037844386
161.0,3.7200000000000086
162.0,3.240000000000007
163.0,2.760000000000004
164.0,2.413974596215562
165.0,2.3000000000000003
166.0,2.453974596215564
167.0,2.8399999999999945
168.0,3.3599999999999963
169.0,3.8799999999999994
170.0,4.2660254037844325
171.0,4.42
172.0,4.306025403784441
173.0,3.9600000000000026
174.0,3.48
175.0,2.9999999999999973
176.0,2.6539745962155656
177.0,2.54
178.0,2.6939745962155603
179.0,3.079999999999988
180.0,3.5999999999999894
181.0,4.120000000000005
182.0,4.506025403784436
183.0,4.66
184.0,4.546025403784438
185.0,4.200000000000009
186.0,3.7200000000000077
187.0,3.240000000000004
188.0,2.8939745962155623
189.0,2.7800000000000002
190.0,2.9339745962155637
191.0,3.319999999999994
192.0,3.839999999999996
193.0,4.359999999999987
194.0,4.746025403784439
195.0,4.9
196.0,4.786025403784442
197.0,4.440000000000003
198.0,3.9600000000000004
199.0,3.48000000000001
200.0,3.1339745962155585
